Player,FG%,FT%,3P%
Thomas,0.541,0.593,0
Crawford,0.401,0.682,0.384
Mitoglou,0.462,0.768,0.342
Codi ,0.407,0.596,0.281
Cornelius ,0.34,0.692,0.265
Collins,0.56,0.712,0
Mitchell ,0.337,0.806,0.319
McClinton,0.574,0.593,0
Moore,0.642,0.556,0
Watson,0.405,0.619,0.318
Trent ,0.308,0.733,0.091
